month,town,resale_price
2012-03,ANG MO KIO,250000
2012-03,ANG MO KIO,265000
2012-03,ANG MO KIO,315000
2012-03,ANG MO KIO,320000
2012-03,ANG MO KIO,321000
2012-03,ANG MO KIO,321000
2012-03,ANG MO KIO,323000
2012-03,ANG MO KIO,325000
2012-03,ANG MO KIO,328000
2012-03,ANG MO KIO,330000
2012-03,ANG MO KIO,331000
2012-03,ANG MO KIO,332000
2012-03,ANG MO KIO,333000
2012-03,ANG MO KIO,333000
2012-03,ANG MO KIO,335000
2012-03,ANG MO KIO,336000
2012-03,ANG MO KIO,336000
2012-03,ANG MO KIO,336000
2012-03,ANG MO KIO,338000
2012-03,ANG MO KIO,339000
2012-03,ANG MO KIO,339000
2012-03,ANG MO KIO,340000
2012-03,ANG MO KIO,340000
2012-03,ANG MO KIO,342000
2012-03,ANG MO KIO,342000
2012-03,ANG MO KIO,347000
2012-03,ANG MO KIO,348000
2012-03,ANG MO KIO,350000
2012-03,ANG MO KIO,350000
2012-03,ANG MO KIO,350000
2012-03,ANG MO KIO,350000
2012-03,ANG MO KIO,353000
2012-03,ANG MO KIO,355000
2012-03,ANG MO KIO,357000
2012-03,ANG MO KIO,358000
2012-03,ANG MO KIO,360000
2012-03,ANG MO KIO,363000
2012-03,ANG MO KIO,367000
2012-03,ANG MO KIO,368000
2012-03,ANG MO KIO,368000
2012-03,ANG MO KIO,368000
2012-03,ANG MO KIO,368000
2012-03,ANG MO KIO,368000
2012-03,ANG MO KIO,370000
2012-03,ANG MO KIO,372000
2012-03,ANG MO KIO,373000
2012-03,ANG MO KIO,377000
2012-03,ANG MO KIO,379000
2012-03,ANG MO KIO,380000
2012-03,ANG MO KIO,380000
2012-03,ANG MO KIO,380000
2012-03,ANG MO KIO,380000
2012-03,ANG MO KIO,385000
2012-03,ANG MO KIO,385000
2012-03,ANG MO KIO,390000
2012-03,ANG MO KIO,392000
2012-03,ANG MO KIO,398000
2012-03,ANG MO KIO,398000
2012-03,ANG MO KIO,399000
2012-03,ANG MO KIO,400000
2012-03,ANG MO KIO,400000
2012-03,ANG MO KIO,400000
2012-03,ANG MO KIO,400000
2012-03,ANG MO KIO,403000
2012-03,ANG MO KIO,411000
2012-03,ANG MO KIO,411000
2012-03,ANG MO KIO,414000
2012-03,ANG MO KIO,418000
2012-03,ANG MO KIO,426888
2012-03,ANG MO KIO,427000
2012-03,ANG MO KIO,428000
2012-03,ANG MO KIO,430000
2012-03,ANG MO KIO,433000
2012-03,ANG MO KIO,434000
2012-03,ANG MO KIO,434800
2012-03,ANG MO KIO,435000
2012-03,ANG MO KIO,440000
2012-03,ANG MO KIO,443000
2012-03,ANG MO KIO,445000
2012-03,ANG MO KIO,448000
2012-03,ANG MO KIO,455000
2012-03,ANG MO KIO,455000
2012-03,ANG MO KIO,457000
2012-03,ANG MO KIO,460000
2012-03,ANG MO KIO,460000
2012-03,ANG MO KIO,460000
2012-03,ANG MO KIO,478000
2012-03,ANG MO KIO,478000
2012-03,ANG MO KIO,480000
2012-03,ANG MO KIO,480000
2012-03,ANG MO KIO,480000
2012-03,ANG MO KIO,481000
2012-03,ANG MO KIO,493000
2012-03,ANG MO KIO,505000
2012-03,ANG MO KIO,508000
2012-03,ANG MO KIO,515000
2012-03,ANG MO KIO,518000
2012-03,ANG MO KIO,533000
2012-03,ANG MO KIO,538000
2012-03,ANG MO KIO,538000
2012-03,ANG MO KIO,550000
2012-03,ANG MO KIO,590000
2012-03,ANG MO KIO,596000
2012-03,ANG MO KIO,600000
2012-03,ANG MO KIO,603000
2012-03,ANG MO KIO,605000
2012-03,ANG MO KIO,610000
2012-03,ANG MO KIO,620000
2012-03,ANG MO KIO,623000
2012-03,ANG MO KIO,630000
2012-03,ANG MO KIO,635000
2012-03,ANG MO KIO,655000
2012-03,ANG MO KIO,658000
2012-03,ANG MO KIO,670000
2012-03,ANG MO KIO,686000
2012-03,ANG MO KIO,686000
2012-03,ANG MO KIO,767000
2012-03,ANG MO KIO,775000
2012-03,ANG MO KIO,785000
2012-03,BEDOK,249000
2012-03,BEDOK,268000
2012-03,BEDOK,292000
2012-03,BEDOK,294000
2012-03,BEDOK,295000
2012-03,BEDOK,295000
2012-03,BEDOK,300000
2012-03,BEDOK,300000
2012-03,BEDOK,300000
2012-03,BEDOK,301000
2012-03,BEDOK,303000
2012-03,BEDOK,303000
2012-03,BEDOK,305000
2012-03,BEDOK,305000
2012-03,BEDOK,306000
2012-03,BEDOK,307000
2012-03,BEDOK,307000
2012-03,BEDOK,308000
2012-03,BEDOK,308000
2012-03,BEDOK,312000
2012-03,BEDOK,312000
2012-03,BEDOK,315000
2012-03,BEDOK,315000
2012-03,BEDOK,316000
2012-03,BEDOK,318000
2012-03,BEDOK,320000
2012-03,BEDOK,320000
2012-03,BEDOK,322000
2012-03,BEDOK,325000
2012-03,BEDOK,325000
2012-03,BEDOK,328000
2012-03,BEDOK,328000
2012-03,BEDOK,328000
2012-03,BEDOK,330000
2012-03,BEDOK,330000
2012-03,BEDOK,330000
2012-03,BEDOK,333000
2012-03,BEDOK,335000
2012-03,BEDOK,335000
2012-03,BEDOK,337000
2012-03,BEDOK,340000
2012-03,BEDOK,340000
2012-03,BEDOK,340000
2012-03,BEDOK,345000
2012-03,BEDOK,345000
2012-03,BEDOK,348000
2012-03,BEDOK,350000
2012-03,BEDOK,350000
2012-03,BEDOK,350000
2012-03,BEDOK,350000
2012-03,BEDOK,357800
2012-03,BEDOK,358000
2012-03,BEDOK,358000
2012-03,BEDOK,360000
2012-03,BEDOK,360000
2012-03,BEDOK,363000
2012-03,BEDOK,366000
